mongo client connection created with mongodb://mongo-0.mongo,mongo-1.mongo,mongo-2.mongo:27017/ycsb?replicaSet=rs0
[OVERALL], RunTime(ms), 1988
[OVERALL], Throughput(ops/sec), 503.01810865191146
[TOTAL_GCS_Copy], Count, 3
[TOTAL_GC_TIME_Copy], Time(ms), 14
[TOTAL_GC_TIME_%_Copy], Time(%), 0.7042253521126761
[TOTAL_GCS_MarkSweepCompact], Count, 0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms), 0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%), 0.0
[TOTAL_GCs], Count, 3
[TOTAL_GC_TIME], Time(ms), 14
[TOTAL_GC_TIME_%], Time(%), 0.7042253521126761
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 1023.0
[CLEANUP], MinLatency(us), 1023
[CLEANUP], MaxLatency(us), 1023
[CLEANUP], 95thPercentileLatency(us), 1023
[CLEANUP], 99thPercentileLatency(us), 1023
[INSERT], Operations, 1000
[INSERT], AverageLatency(us), 1758.021
[INSERT], MinLatency(us), 533
[INSERT], MaxLatency(us), 76671
[INSERT], 95thPercentileLatency(us), 1899
[INSERT], 99thPercentileLatency(us), 31375
[INSERT], Return=OK, 1000
